controller,plant,plant_description,kp,kd,inertia_y,damping_q,actuator_tau,sensitivity_peak,complementary_peak,control_peak_nm_per_rad,mixed_sensitivity_peak,mixed_peak_frequency_rad_s,robust_stability_peak,frequency_pass,robust_stability_pass,attitude_rms_rad,attitude_peak_rad,rate_max_rad_s,moment_peak_nm,moment_cmd_peak_nm,moment_saturation_fraction,time_pass,input_pass,case_pass
baseline_pd,nominal,nominal pitch axis,95000.0,15500.0,52000.0,1700.0,0.08,7.300007202250583,7.478604689558073,1553482.8320936093,250.5622465217504,100.0,0.9940190946860161,False,False,0.04733994038462809,0.11435216102247545,0.11888855102399405,4799.999999964579,4800.0,0.2933832709113608,False,False,False
baseline_pd,high_inertia,+20% pitch inertia,95000.0,15500.0,62400.0,1700.0,0.08,8.111253122881397,8.17729946309511,1553387.0925387924,250.5468046271185,100.0,1.0529513272041204,False,False,0.05374108459718704,0.11502798668669434,0.10940532147964602,4799.999999999135,4800.0,0.3433208489388265,False,False,False
baseline_pd,low_damping,-50% pitch damping,95000.0,15500.0,52000.0,850.0,0.08,7.999505859852432,8.197026266754525,1553482.8380792178,250.5622474871731,100.0,1.0895081324693352,False,False,0.04941904295289483,0.11599461912614492,0.12135175361052121,4799.9999999898,4800.0,0.3083645443196005,False,False,False
baseline_pd,slow_actuator,slower moment actuator,95000.0,15500.0,52000.0,1700.0,0.14,17.867904431013734,18.092087863864432,1737970.349281675,280.73121276597897,1.3471511798048221,2.404710710880092,False,False,0.0615904585659835,0.12822852767291387,0.13186153559004846,4799.999958160291,4800.0,0.3945068664169788,False,False,False
baseline_pd,combined_bad,"high inertia, low damping, slow actuator",95000.0,15500.0,62400.0,850.0,0.14,25.842342760212084,25.800309795438586,2504608.0148397544,404.6326237365446,1.2380501146920249,3.32218118756556,False,False,0.07054830422401369,0.12980320443051527,0.12265976759754732,4799.999997559594,4800.0,0.4606741573033708,False,False,False
hinf_weighted_pd,nominal,nominal pitch axis,35000.0,10000.0,52000.0,1700.0,0.08,4.822659865651889,4.920733916379331,1000850.2293241135,161.428231301994,100.0,0.5523444375986348,True,True,0.03483715155454848,0.0676425848242101,0.048677917404100324,1994.08031509148,2192.3031814593055,0.0,True,True,True
hinf_weighted_pd,high_inertia,+20% pitch inertia,35000.0,10000.0,62400.0,1700.0,0.08,5.226400168905488,5.3744019436253,1000810.5696762677,161.42183455377912,100.0,0.5893961359585992,True,True,0.04011189078884829,0.07817946484110039,0.05479212624099799,2303.845573268558,2454.8144272500035,0.0,True,True,True
hinf_weighted_pd,low_damping,-50% pitch damping,35000.0,10000.0,52000.0,850.0,0.08,5.296882539389769,5.427854807613575,1000850.2328298304,161.42823186743493,100.0,0.6092679388940265,True,True,0.0350490900297243,0.06570749213894052,0.04813267983120016,1991.7954838244355,2190.831272042912,0.0,True,True,True
hinf_weighted_pd,slow_actuator,slower moment actuator,35000.0,10000.0,52000.0,1700.0,0.14,6.253177857179462,6.376185594450993,1000749.4205849747,161.41197174963767,100.0,0.7157165386383915,True,True,0.035597735686139,0.06567479758946894,0.047759344170060156,1918.3089085599015,2210.498466994134,0.0,True,True,True
hinf_weighted_pd,combined_bad,"high inertia, low damping, slow actuator",35000.0,10000.0,62400.0,850.0,0.14,7.8045813191723505,8.000386570720789,1000726.5674381249,161.4082857404782,100.0,0.8773807728599347,True,True,0.0425035260176,0.07469822081161542,0.05588150545061316,2444.8119712694947,2455.0473021928765,0.0,True,True,True
