case_id,seed,controller,rho0,thrust_max,cl_alpha,cd_alpha2,actuator_wn,h_rms,v_rms,q_max,q_margin_min,q_violation_integral,alpha_max_rad,delta_max_rad,delta_rate_max_rad_s,throttle_span,tracking_pass,q_pass,alpha_pass,delta_pass,delta_rate_pass,pass
0,1,baseline,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,428.46089206807613,417.14017895529594,63301.04797305066,6698.952026949337,0.0,0.07664303769625636,0.05512384816853996,0.5391517354418598,0.4125170443747724,True,True,True,True,True,True
0,1,guarded,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,427.78887327900276,416.71052494141907,62739.602480697686,7260.397519302314,0.0,0.08022480357052732,0.05512384816853996,0.5391517354418598,0.440492013763074,True,True,True,True,True,True
0,1,lqr,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,255.0332935239621,159.6091541530076,43553.717222288644,26446.282777711356,0.0,0.11684610347410193,0.08467647414948737,0.6777223563275746,0.4989319772080921,True,True,True,True,True,True
0,1,ndi,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,499.1893309511378,24.69426572032531,37499.20372019557,32500.796279804432,0.0,0.13989200424838574,0.3141592653589793,1.3962634015954636,0.06882981988963408,True,True,True,True,True,True
0,1,backstepping,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,166.94525324358293,12.179547876814752,34803.563658539504,35196.436341460496,0.0,0.151095120667964,0.200601636427364,1.3962634015954636,0.07296353541260785,True,True,True,True,True,True
0,1,smc,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,342.01112611810544,24.694551807509722,35323.85419883763,34676.14580116237,0.0,0.12217187189370615,0.20863807389108824,1.3962634015954636,0.07073713248737987,True,True,True,True,True,True
0,1,barrier,1.1533353918460307,58821.77110630956,2.3392729988196526,0.800034081250842,23.000513619970235,428.4287426756672,416.91995198696884,63104.46729367136,6895.532706328639,0.0,0.07664303769625636,0.05512384816853996,0.5391517354418598,0.43540693827082416,True,True,True,True,True,True
1,2,baseline,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,736.792218769414,403.9349540876644,79239.27279812888,-9239.272798128877,81125.01520416298,0.07881605119423613,0.04499257671269964,0.015686784255816547,0.4339493697878582,True,False,True,True,True,False
1,2,guarded,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,776.1752771587848,351.22483130096975,69389.59628456643,610.4037154335674,0.0,0.07881605119423613,0.04499257671269964,0.015686784255816547,0.6320874031718839,True,True,True,True,True,True
1,2,lqr,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,292.4575125938205,155.43802476683607,48412.95968845161,21587.040311548393,0.0,0.1532454744763571,0.08658283531971048,0.04883523118852117,0.6206414474527012,True,True,True,True,True,True
1,2,ndi,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,853.8988424564203,38.58322460721981,47696.5123121207,22303.4876878793,0.0,0.11344450016994255,0.3141592653589793,1.3962634015954636,0.042030746733537024,True,True,True,True,True,True
1,2,backstepping,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,140.96183198216522,8.097769535644725,39811.13567279037,30188.86432720963,0.0,0.16204025615598705,0.15693667621598179,1.3962634015954636,0.07735518139410885,True,True,True,True,True,True
1,2,smc,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,710.8459908349981,38.58357746379701,45372.716979618526,24627.283020381474,0.0,0.1221674315142713,0.16065256730725352,1.3962634015954636,0.04392948873476025,True,True,True,True,True,True
1,2,barrier,1.314382717290293,59926.10235765284,1.9658591221597552,0.76531388701242,23.12022064950546,652.8554111621701,353.53322939843224,67311.45217990907,2688.5478200909274,0.0,0.11914875937687354,0.0673599389624412,0.015686784255816547,0.6320874031718839,True,True,True,True,True,True
2,3,baseline,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,756.0956396874935,401.81905523971426,71019.86743965799,-1019.8674396579881,1436.7008931110101,0.07555449314259707,0.047481819397738115,0.29682651962118173,0.3940129186928957,True,False,True,True,True,False
2,3,guarded,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,761.6485198420344,387.64234514837307,66817.71823418724,3182.2817658127606,0.0,0.07555449314259707,0.047481819397738115,0.29682651962118173,0.5485426480529872,True,True,True,True,True,True
2,3,lqr,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,310.9245278374733,157.70013653371615,44057.87326332041,25942.126736679587,0.0,0.12546315022113227,0.07841956669312998,0.40579129112459755,0.47818997877104896,True,True,True,True,True,True
2,3,ndi,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,647.7099275652964,23.899439413550773,40769.90135716916,29230.09864283084,0.0,0.14008119058787838,0.3141592653589793,1.3962634015954636,0.07311884340127375,True,True,True,True,True,True
2,3,backstepping,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,115.1083097315918,14.236032605246624,35711.754500433766,34288.245499566234,0.0,0.15107701052388725,0.21398072050609446,1.3962634015954636,0.07832664688380112,True,True,True,True,True,True
2,3,smc,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,474.0776509238685,23.89963489372198,38509.70453000719,31490.29546999281,0.0,0.12216817024977117,0.22511352643922095,1.3962634015954636,0.07518077566521696,True,True,True,True,True,True
2,3,barrier,1.1736410669100108,55486.52147825547,2.131336327937386,0.8711996878736237,18.78690874426217,742.9369695053152,389.572579408831,66293.38790974535,3706.6120902546536,0.0,0.09730634491810143,0.06082770633196307,0.29682651962118173,0.5272252786294311,True,True,True,True,True,True
3,4,baseline,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1028.0385136474479,376.44540484732124,74815.31724433269,-4815.317244332691,20378.79174444162,0.08029448414775774,0.04201317387841166,0.1959050011223977,0.3740338132531749,False,False,True,True,True,False
3,4,guarded,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1037.995459357547,355.1563838461817,68686.15404380369,1313.84595619631,0.0,0.08029448414775774,0.04201317387841166,0.1959050011223977,0.5900406090760183,False,True,True,True,True,False
3,4,lqr,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,341.5186364817629,153.33344311762573,42954.961267997685,27045.038732002315,0.0,0.17398030528015934,0.0898175989510743,0.22720250650199042,0.47614248503909884,True,True,True,True,True,True
3,4,ndi,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1193.6475671608453,24.489453920769396,46579.10399137476,23420.89600862524,0.0,0.11344407099848326,0.3141592653589793,1.3962634015954636,0.07905341143766986,False,True,True,True,True,False
3,4,backstepping,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,242.4949849613386,12.674419257576105,36209.197597937855,33790.802402062145,0.0,0.16367148687102037,0.18562454484453952,1.3962634015954636,0.07655986379624519,True,True,True,True,True,True
3,4,smc,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,1077.9008702099466,24.489832217117648,44563.84845175334,25436.151548246657,0.0,0.1221655859484448,0.19155553328564232,1.3962634015954636,0.08125370004193007,False,True,True,True,True,False
3,4,barrier,1.173265425588537,50634.82637653787,2.1451187520984396,0.7796143432436916,24.758503284378943,993.0888474117264,355.3905468243985,67124.6323829069,2875.3676170930994,0.0,0.11675277108113848,0.0601174671867077,0.1959050011223977,0.5886115674147394,False,True,True,True,True,False
